id_estudante;genero;idade;zona;escola;monitor;grupo;dfs1;dfs2;dfs3;dfs4;dfs5;dfs6;dfs7;dfs8;dfs9;media_dfs;fss1;fss2;fss3;fss4;fss5;fss6;fss7;fss8;fss9;media_fss
E26;M;12;;2;MM;Experimental;5;2;1;5;5;1;2;3;5;3.222222222;;;;;;;;;;
E27;M;13;;2;MM;Experimental;3;2;4;5;5;4;1;3;5;3.555555556;2;4;3;5;2;3;4;5;2;3.333333333
E28;M;13;;2;MM;Experimental;1;3;5;5;3;2;3;1;4;3;4;5;1;3;2;5;1;4;1;2.888888889
E29;M;13;;2;MM;Experimental;3;2;5;1;1;5;3;4;3;3;4;4;3;3;3;2;3;3;1;2.888888889
E30;F;10;Urbana;2;AC;Experimental;2;1;2;4;2;3;3;4;5;2.888888889;4;3;5;3;3;3;3;5;3;3.555555556
E31;F;11;Urbana;2;AC;Experimental;3;1;3;3;5;5;3;3;5;3.444444444;3;4;2;3;4;4;2;3;4;3.222222222
E32;M;11;Urbana;2;AC;Experimental;4;4;5;4;5;2;3;5;3;3.888888889;4;5;2;3;4;3;5;2;3;3.444444444
E33;M;10;Urbana;2;AC;Experimental;3;1;5;5;5;3;3;1;3;3.222222222;4;3;3;4;4;4;3;3;3;3.444444444
E34;F;11;Urbana;2;AC;Experimental;4;2;5;5;4;5;5;3;5;4.222222222;4;4;4;4;4;4;4;4;4;4
E35;F;11;Rural;2;AC;Experimental;3;4;3;4;4;3;4;3;3;3.444444444;3;3;3;4;5;4;4;3;3;3.555555556
E36;F;10;Rural;2;AC;Experimental;3;3;4;5;4;3;3;5;5;3.888888889;5;4;5;4;3;4;4;4;4;4.111111111
E37;F;11;Rural;2;AC;Experimental;3;4;5;4;3;2;3;5;4;3.666666667;5;3;3;4;3;4;4;5;3;3.777777778
E38;M;13;Rural;2;AC;Experimental;5;3;4;2;1;5;3;2;3;3.111111111;4;5;3;2;1;5;2;4;1;3
E39;M;11;Rural;2;AC;Experimental;5;5;5;5;5;5;1;3;3;4.111111111;3;4;5;5;2;3;3;2;5;3.555555556
E40;M;11;Rural;2;AC;Experimental;4;3;4;4;3;5;2;3;5;3.666666667;4;2;4;2;4;4;4;4;2;3.333333333
E41;M;12;;2;AC;Experimental;4;3;4;5;4;5;1;2;4;3.555555556;2;4;5;3;1;1;3;2;2;2.555555556
E42;M;14;;2;AC;Experimental;;;;;;;;;;;;;;;;;;;;
E43;M;14;;2;AC;Experimental;;;;;;;;;;;;;;;;;;;;
E44;M;14;;2;AC;Experimental;;;;;;;;;;;;;;;;;;;;
E45;F;10;Rural;3;ML;Experimental;3;4;5;4;5;5;5;4;5;4.444444444;5;3;5;3;5;5;3;5;5;4.333333333
E46;M;11;Rural;3;ML;Experimental;3;3;2;3;;1;;;;2.4;;;;;;;;;;
E47;F;10;Rural;3;ML;Experimental;5;3;5;4;5;5;3;4;5;4.333333333;3;3;4;3;4;4;3;4;3;3.444444444
E48;M;11;Rural;3;ML;Experimental;2;2;3;3;2;3;2;1;4;2.444444444;4;1;1;4;4;1;1;1;1;2
E49;M;11;Rural;3;ML;Experimental;4;1;5;3;3;3;4;1;1;2.777777778;5;3;3;2;2;3;4;3;2;3
E50;F;12;Rural;3;ML;Experimental;4;4;5;3;5;4;1;1;5;3.555555556;5;4;5;4;4;3;5;5;3;4.222222222
E51;M;11;Rural;3;ML;Experimental;2;3;5;3;5;5;1;5;5;3.777777778;4;4;3;4;3;4;3;4;3;3.555555556
E52;M;;;3;ML;Experimental;3;2;3;3;3;3;1;5;5;3.111111111;;;;;;;;;;
E53;M;10;Rural;3;ML;Experimental;3;2;3;5;3;3;2;2;5;3.111111111;4;2;4;4;4;1;2;2;4;3
E54;M;12;Rural;3;ML;Experimental;2;2;3;4;3;2;1;4;5;2.888888889;5;5;3;5;3;5;3;5;5;4.333333333
E55;M;;;3;ML;Experimental;5;2;5;5;3;5;1;3;5;3.777777778;3;4;5;1;2;3;4;3;4;3.222222222
E56;M;;;3;ML;Experimental;4;2;5;1;3;1;2;4;2;2.666666667;1;5;2;3;2;;4;;2;2.714285714
E57;M;;;3;ML;Experimental;2;3;4;2;;5;1;5;1;2.875;3;2;4;4;2;3;3;4;2;3
E58;F;;;3;ML;Experimental;4;3;5;4;4;5;3;2;5;3.888888889;4;3;4;3;5;4;3;4;4;3.777777778
E59;M;;;3;ML;Experimental;5;5;5;5;5;5;1;5;5;4.555555556;5;1;4;4;5;5;5;5;4;4.222222222
E60;M;;;3;ML;Experimental;5;5;5;5;5;5;1;3;5;4.333333333;4;3;3;3;4;4;3;4;2;3.333333333
E61;F;12;Rural;4;CE;Experimental;5;3;5;5;5;2;5;4;5;4.333333333;3;3;5;4;3;3;5;3;5;3.777777778
E62;F;11;Rural;4;CE;Experimental;5;4;5;4;4;4;4;4;5;4.333333333;4;5;4;4;5;5;4;4;5;4.444444444
E63;M;11;Urbana;4;CE;Experimental;3;5;5;3;5;5;3;4;5;4.222222222;4;5;4;3;3;4;2;3;3;3.444444444
E64;M;13;Urbana;4;CE;Experimental;4;3;2;5;5;3;4;2;5;3.666666667;1;;2;4;2;3;4;5;3;3
E65;M;11;Rural;4;CE;Experimental;;;;;;;;;;;4;5;4;3;5;5;2;3;4;3.888888889
E66;M;11;Urbana;4;CE;Experimental;5;3;4;4;5;4;5;4;4;4.222222222;4;;;3;4;5;3;4;5;4
E67;M;11;Rural;4;CE;Experimental;5;3;5;4;2;4;1;5;5;3.777777778;3;4;4;2;2;4;3;4;2;3.111111111
E68;M;12;Rural;4;CE;Experimental;4;5;3;3;1;3;2;;3;3;4;4;3;4;3;3;4;4;4;3.666666667
E69;M;11;Rural;4;CE;Experimental;4;3;4;3;2;3;4;3;3;3.222222222;5;4;3;3;4;1;2;3;4;3.222222222
E70;M;11;Rural;4;CE;Experimental;4;2;3;3;5;3;3;3;3;3.222222222;2;4;2;4;2;4;2;4;2;2.888888889
E71;F;11;Rural;4;CE;Experimental;4;2;5;4;5;3;1;3;4;3.444444444;4;5;5;4;5;4;3;5;3;4.222222222
E72;M;10;Rural;4;CE;Experimental;3;2;4;1;3;4;2;3;5;3;4;5;3;4;5;5;4;3;5;4.222222222
E73;M;10;Rural;4;CE;Experimental;;;;;;;;;;;2;4;4;4;4;3;4;3;2;3.333333333
E74;F;11;Rural;4;CE;Experimental;4;5;4;4;5;5;4;5;4;4.444444444;5;4;3;5;3;4;5;4;5;4.222222222
E75;M;11;Urbana;4;CE;Experimental;3;4;3;4;2;4;2;4;2;3.111111111;2;2;4;2;3;4;2;3;3;2.777777778
E76;M;11;Urbana;4;CE;Experimental;3;2;4;3;3;3;4;1;3;2.888888889;4;4;4;3;3;4;4;3;2;3.444444444
E77;F;11;Urbana;5;GR;Experimental;5;5;5;4;5;3;4;2;5;4.222222222;4;3;5;4;4;4;2;5;4;3.888888889
E78;F;11;Urbana;5;GR;Experimental;2;3;2;3;4;3;1;3;3;2.666666667;4;2;3;2;4;5;4;4;3;3.444444444
E79;F;11;Urbana;5;GR;Experimental;3;3;4;4;4;5;4;3;4;3.777777778;3;3;4;3;4;3;3;5;4;3.555555556
E80;F;11;Urbana;5;GR;Experimental;2;2;3;2;3;3;1;3;3;2.444444444;3;5;3;3;4;3;3;3;2;3.222222222
E81;M;11;Urbana;5;GR;Experimental;5;3;5;3;5;5;4;5;4;4.333333333;4;1;5;4;4;5;5;4;5;4.111111111
E82;M;11;Urbana;5;GR;Experimental;3;2;4;3;2;3;2;4;2;2.777777778;2;4;3;3;5;3;5;4;3;3.555555556
E83;M;12;Urbana;5;GR;Experimental;3;4;2;3;2;3;3;4;2;2.888888889;3;4;2;2;3;4;3;3;3;3
E84;M;12;Urbana;5;GR;Experimental;3;3;4;3;3;3;4;3;3;3.222222222;2;2;3;2;3;2;4;2;3;2.555555556
E85;M;11;Urbana;5;GR;Experimental;3;1;5;3;5;5;3;3;5;3.666666667;4;5;4;1;5;4;5;1;5;3.777777778
E86;M;10;Urbana;5;GR;Experimental;;;;;;;;;;;1;2;;4;;2;3;2;3;2.428571429
E87;M;11;Urbana;5;GR;Experimental;2;3;5;1;3;5;3;5;4;3.444444444;4;3;2;4;5;5;4;5;3;3.888888889
E88;F;11;Urbana;5;GR;Experimental;3;5;3;5;3;1;2;2;5;3.222222222;4;3;4;4;4;3;2;4;3;3.444444444
E89;F;12;Urbana;5;GR;Experimental;5;4;5;1;5;4;5;3;5;4.111111111;3;4;4;3;2;4;2;2;3;3
E90;F;12;Urbana;5;GR;Experimental;4;3;5;1;4;2;1;2;5;3;2;4;2;4;4;4;4;4;4;3.555555556
E91;M;11;Urbana;5;GR;Experimental;3;2;5;5;5;5;1;4;5;3.888888889;4;1;4;4;4;5;2;3;5;3.555555556
E92;F;;;5;GR;Experimental;3;1;5;5;4;5;3;3;2;3.444444444;4;1;1;4;5;3;5;4;3;3.333333333
E93;F;11;Urbana;5;JC;Experimental;2;3;1;1;3;5;4;4;2;2.777777778;3;3;2;4;1;4;5;4;4;3.333333333
E94;F;10;Urbana;5;JC;Experimental;3;1;5;3;5;5;3;1;5;3.444444444;4;4;4;4;5;4;4;2;3;3.777777778
E95;M;11;Urbana;5;JC;Experimental;3;3;5;3;2;3;1;5;4;3.222222222;;;;;;;;;;
E96;F;11;Urbana;5;JC;Experimental;4;5;4;4;5;4;4;3;3;4;;;;;;;;;;
E97;M;11;Urbana;5;JC;Experimental;3;5;5;2;5;5;1;5;3;3.777777778;;;;;;;;;;
E98;F;10;Urbana;5;JC;Experimental;3;1;3;3;3;3;1;3;1;2.333333333;4;3;4;4;2;3;4;2;2;3.111111111
E99;F;11;Urbana;5;JC;Experimental;2;3;4;4;5;5;1;2;5;3.444444444;4;4;3;3;4;4;5;4;4;3.888888889
E100;M;13;Urbana;5;JC;Experimental;2;3;4;2;5;1;3;2;4;2.888888889;;;;;;;;;;
E101;M;11;Urbana;5;JC;Experimental;5;2;2;5;4;5;3;3;5;3.777777778;5;5;5;4;5;4;3;4;5;4.444444444
E102;F;11;Urbana;5;JC;Experimental;4;4;5;5;5;5;;;5;4.714285714;4;5;4;3;5;4;1;5;4;3.888888889
E103;F;11;Urbana;5;JC;Experimental;2;3;3;4;5;3;;1;3;3;4;2;4;2;2;2;2;4;2;2.666666667
E104;M;11;Urbana;5;JC;Experimental;5;3;5;3;3;5;3;3;4;3.777777778;4;1;5;1;4;4;2;2;4;3
E105;M;;;5;JC;Experimental;5;3;4;3;2;2;5;2;2;3.111111111;;;;;;;;;;
E106;M;;;5;JC;Experimental;2;4;3;5;3;3;4;2;1;3;1;3;2;4;3;4;4;1;4;2.888888889
E107;M;11;Urbana;5;JC;Experimental;3;4;5;3;3;3;3;5;3;3.555555556;4;2;3;3;4;4;5;2;3;3.333333333
E108;M;11;Urbana;5;JC;Experimental;4;3;3;5;3;5;4;4;5;4;3;4;5;2;4;4;2;4;4;3.555555556
E109;F;13;;5;MF;Experimental;2;3;2;2;3;5;2;5;3;3;;;;;;;;;;
E110;M;11;;5;MF;Experimental;4;3;2;4;5;5;4;2;4;3.666666667;4;2;1;3;4;2;4;4;3;3
E111;M;10;;5;MF;Experimental;2;4;3;3;3;2;2;2;3;2.666666667;3;3;4;3;3;4;2;3;3;3.111111111
E112;F;10;;5;MF;Experimental;3;3;5;3;5;5;3;5;1;3.666666667;4;3;3;4;4;4;4;4;3;3.666666667
E113;F;;;5;MF;Experimental;2;1;5;3;3;5;3;2;3;3;;;;;;;;;;
E114;M;10;;5;MF;Experimental;5;5;5;4;5;5;4;3;4;4.444444444;4;4;5;5;4;4;5;4;5;4.444444444
E115;M;11;;5;MF;Experimental;5;5;5;3;5;3;4;4;3;4.111111111;5;4;5;5;4;5;4;5;5;4.666666667
E116;M;11;;5;MF;Experimental;3;3;4;3;4;4;4;3;3;3.444444444;;;;;;;;;;
E117;M;11;;5;MF;Experimental;;;;;;;;;;;;;;;;;;;;
E118;F;11;;5;MF;Experimental;2;1;3;1;5;3;1;3;1;2.222222222;1;3;4;5;1;2;3;5;3;3
E119;M;11;;5;MF;Experimental;3;4;5;5;5;4;1;1;5;3.666666667;4;4;4;5;5;4;4;4;4;4.222222222
E120;F;;;5;MF;Experimental;5;3;5;3;4;2;1;3;4;3.333333333;5;3;5;3;5;4;5;3;4;4.111111111
E121;M;;;5;MF;Experimental;3;2;3;3;5;5;1;2;3;3;3;3;2;4;4;3;3;2;3;3
E122;F;;;5;MF;Experimental;3;3;3;5;3;5;3;5;5;3.888888889;4;2;4;4;3;5;2;3;1;3.111111111
E123;M;;;5;MF;Experimental;2;4;5;3;4;5;2;4;5;3.777777778;3;3;3;4;3;4;4;5;3;3.555555556
E124;F;;;5;MF;Experimental;2;2;1;4;3;4;2;5;5;3.111111111;3;2;1;3;3;2;2;2;2;2.222222222
E125;F;11;;5;EA;Experimental;2;;1;3;;3;2;3;3;2.428571429;3;3;3;3;3;3;3;3;3;3
E126;M;11;;5;EA;Experimental;3;3;3;5;4;3;3;2;3;3.222222222;1;3;2;3;2;3;2;3;1;2.222222222
E127;M;10;;5;EA;Experimental;;;;;;;;;;;5;;4;2;3;5;1;3;1;3
E128;F;11;;5;EA;Experimental;5;4;5;2;3;5;1;3;5;3.666666667;4;4;2;3;4;4;4;5;3;3.666666667
E129;F;;;5;EA;Experimental;5;3;2;4;4;2;1;3;3;3;4;5;5;3;5;5;4;4;5;4.444444444
E130;M;11;;5;EA;Experimental;3;3;4;3;4;5;1;5;4;3.555555556;5;4;3;4;4;4;3;3;4;3.777777778
E131;M;11;;5;EA;Experimental;3;4;5;1;3;2;1;4;4;3;3;5;2;5;3;4;2;5;3;3.555555556
E132;F;12;;5;EA;Experimental;4;3;5;5;5;5;1;3;5;4;4;4;4;4;4;4;4;4;4;4
E133;M;10;;5;EA;Experimental;5;5;5;5;5;5;5;3;5;4.777777778;3;2;4;;3;5;3;2;4;3.25
E134;F;;;5;EA;Experimental;5;3;5;3;3;4;1;3;2;3.222222222;5;5;5;5;5;4;4;4;5;4.666666667
E135;F;11;;5;EA;Experimental;3;2;5;2;5;4;5;2;3;3.444444444;3;5;3;1;4;3;4;4;5;3.555555556
E136;F;10;;5;EA;Experimental;3;3;2;2;3;3;2;3;4;2.777777778;4;2;4;2;3;4;4;3;3;3.222222222
E137;M;11;;5;EA;Experimental;4;1;4;1;5;3;1;4;5;3.111111111;5;4;5;4;5;4;5;4;4;4.444444444
E138;F;13;;5;EA;Experimental;3;2;4;2;4;2;3;2;3;2.777777778;2;3;4;2;3;4;2;4;2;2.888888889
E139;M;;;5;EA;Experimental;1;3;5;4;2;3;1;3;4;2.888888889;2;3;2;4;1;5;3;4;2;2.888888889
E140;F;;;5;EA;Experimental;3;2;5;3;5;4;3;3;4;3.555555556;4;3;5;4;5;4;5;4;5;4.333333333
E141;M;13;;6;VL;Experimental;5;3;3;4;2;1;1;2;4;2.777777778;5;3;4;1;1;3;4;1;1;2.555555556
E142;F;10;;6;VL;Experimental;3;3;5;3;5;3;3;3;5;3.666666667;5;4;4;4;4;4;5;5;5;4.444444444
E143;F;12;;6;VL;Experimental;5;5;5;5;5;3;3;3;3;4.111111111;4;3;4;4;4;4;4;4;4;3.888888889
E144;M;11;;6;VL;Experimental;4;2;3;3;4;4;2;3;5;3.333333333;4;3;4;2;3;4;4;2;4;3.333333333
E145;F;11;;6;VL;Experimental;4;4;5;4;5;4;3;5;4;4.222222222;5;2;6;4;5;5;4;5;5;4.555555556
E146;F;11;;6;VL;Experimental;5;3;5;3;5;3;3;2;5;3.777777778;5;5;3;2;3;4;3;5;3;3.666666667
E147;F;11;;6;VL;Experimental;4;3;5;4;5;4;1;3;5;3.777777778;4;1;4;5;3;4;5;4;5;3.888888889
E148;F;11;;6;VL;Experimental;4;3;3;5;D;3;5;;2;3.571428571;3;4;2;3;3;2;3;3;3;2.888888889
E149;M;12;;6;VL;Experimental;4;3;5;2;2;3;2;3;4;3.111111111;4;4;3;5;5;3;3;4;4;3.888888889
E150;F;12;;6;VL;Experimental;;;;;;;;;;;3;3;4;5;3;5;4;4;3;3.777777778
E151;M;11;;6;VL;Experimental;1;3;5;3;3;5;1;3;4;3.111111111;4;4;2;2;4;4;2;4;2;3.111111111
E152;M;11;;6;VL;Experimental;;;;;;;;;;;4;2;4;2;4;4;4;2;;3.25
E153;M;11;;6;VL;Experimental;;;;;;;;;;;4;4;4;4;4;4;4;4;4;4
E154;F;10;;6;VL;Experimental;3;3;2;3;5;3;3;3;4;3.222222222;4;2;4;3;4;2;4;4;4;3.444444444
E155;M;10;;6;VL;Experimental;3;1;5;3;5;3;1;3;2;2.888888889;3;4;4;4;3;4;4;3;5;3.777777778
E156;F;12;;6;VL;Experimental;4;3;5;4;5;3;2;3;5;3.777777778;4;4;5;4;4;3;5;4;4;4.111111111
E157;M;11;Urbana;1;PR;Controle;2;4;5;2;5;3;1;5;4;3.444444444;;;;;;;;;;
E158;F;10;Urbana;1;PR;Controle;2;3;2;2;5;2;3;3;3;2.777777778;2;5;2;5;5;5;1;2;2;3.222222222
E159;M;15;Urbana;1;PR;Controle;1;1;2;2;2;3;1;3;3;2;2;3;2;4;5;4;3;2;1;2.888888889
E160;M;11;Urbana;1;PR;Controle;5;1;5;5;5;5;1;5;5;4.111111111;5;5;5;2;5;3;1;1;4;3.444444444
E161;F;10;Urbana;1;PR;Controle;4;3;2;3;3;2;3;4;3;3;1;3;2;3;4;5;4;1;3;2.888888889
E162;F;11;Urbana;1;PR;Controle;4;4;4;3;5;3;5;1;5;3.777777778;4;3;4;3;4;4;1;5;4;3.555555556
E163;M;10;Urbana;1;PR;Controle;3;4;4;4;3;5;4;5;4;4;4;3;4;4;5;5;4;5;4;4.222222222
E164;M;12;Urbana;1;PR;Controle;1;1;1;1;1;1;2;1;1;1.111111111;1;4;2;1;3;2;4;4;3;2.666666667
E165;F;10;Urbana;1;PR;Controle;3;1;4;5;5;5;1;4;3;3.444444444;4;4;5;4;5;4;4;5;5;4.444444444
E166;M;12;Urbana;1;PR;Controle;1;1;3;3;3;3;1;2;3;2.222222222;2;2;3;4;3;3;3;3;2;2.777777778
E167;M;15;Urbana;1;PR;Controle;;;;;;;;;;;1;1;2;3;3;2;3;2;1;2
E168;F;11;Rural;1;PR;Controle;5;2;3;3;1;2;1;4;5;2.888888889;;;;;;;;;;
E169;F;11;Urbana;1;PR;Controle;3;3;5;5;5;3;1;2;4;3.444444444;4;2;3;4;4;3;5;4;3;3.555555556
E170;F;12;Urbana;1;PR;Controle;;;;;;;;;;;;;;;;;;;;
E171;M;11;Urbana;1;PR;Controle;2;2;3;3;3;2;5;3;3;2.888888889;;;;;;;;;;
E172;F;11;Urbana;1;PR;Controle;5;4;5;5;4;5;1;2;3;3.777777778;;;;;;;;;;
E173;M;11;Urbana;1;PR;Controle;2;4;4;3;5;3;3;2;4;3.333333333;2;2;3;3;4;3;2;3;4;2.888888889
E174;F;11;Urbana;1;PR;Controle;2;3;4;5;3;4;1;3;2;3;;;;;;;;;;
E175;M;10;Urbana;1;PR;Controle;4;3;5;2;3;1;1;2;3;2.666666667;4;2;4;4;4;4;2;4;2;3.333333333
E176;M;11;Urbana;1;PR;Controle;3;2;3;1;2;1;3;1;3;2.111111111;4;4;1;4;1;2;3;2;4;2.777777778
E177;F;11;Urbana;1;PR;Controle;3;2;5;5;2;;3;3;5;3.5;4;3;4;4;4;3;4;4;3;3.666666667
E178;M;11;Urbana;2;MM;Controle;5;4;3;4;3;5;3;4;5;4;4;2;5;5;4;4;5;4;5;4.222222222
E179;F;11;Urbana;2;MM;Controle;4;2;5;3;3;2;1;3;4;3;2;4;3;2;2;3;2;3;2;2.555555556
E180;M;11;Urbana;2;MM;Controle;1;3;5;4;2;4;1;4;1;2.777777778;3;2;3;4;2;4;2;4;3;3
E181;M;11;Urbana;2;MM;Controle;5;3;5;5;3;5;2;3;3;3.777777778;4;2;4;5;5;4;2;4;5;3.888888889
E182;M;11;Urbana;2;MM;Controle;2;5;4;3;1;4;1;5;4;3.222222222;;;;;;;;;;
E183;F;11;Rural;2;MM;Controle;3;4;3;4;;2;4;2;3;3.125;1;2;4;3;4;3;5;5;3;3.333333333
E184;F;10;Urbana;2;MM;Controle;2;2;5;2;5;3;5;3;5;3.555555556;3;5;3;5;5;3;3;3;5;3.888888889
E185;F;11;Urbana;2;MM;Controle;3;5;5;4;5;3;3;3;4;3.888888889;5;5;4;;5;5;5;4;;4.714285714
E186;M;11;Urbana;2;MM;Controle;1;1;5;2;3;3;3;3;5;2.888888889;3;4;2;4;4;3;4;2;3;3.222222222
E187;M;13;Urbana;2;MM;Controle;5;4;3;2;5;2;5;4;5;3.888888889;;;;;;;;;;
E188;M;11;Rural;2;MM;Controle;3;1;4;3;5;2;1;5;3;3;3;5;1;4;3;2;3;2;5;3.111111111
E189;M;11;Urbana;2;MM;Controle;5;5;5;5;5;5;5;3;4;4.666666667;5;5;5;5;5;5;5;5;5;5
E190;M;11;;2;MM;Controle;2;5;2;3;4;3;5;2;2;3.111111111;;;;;;;;;;
E191;M;13;;2;MM;Controle;3;5;5;3;1;4;3;5;2;3.444444444;4;4;2;3;2;4;4;2;3;3.111111111
E192;M;12;;2;MM;Controle;5;2;3;4;5;2;1;5;4;3.444444444;;;;;;;;;;
E193;M;14;;2;MM;Controle;2;4;5;4;3;3;1;5;4;3.444444444;;;;;;;;;;
E194;M;11;Urbana;2;AC;Controle;;;;;;;;;;;;;;;;;;;;
E195;M;16;Urbana;2;AC;Controle;1;5;5;3;4;3;1;4;5;3.444444444;2;5;3;2;1;4;1;5;3;2.888888889
E196;M;11;Urbana;2;AC;Controle;3;1;4;3;5;4;5;3;3;3.444444444;4;5;4;4;5;4;3;5;4;4.222222222
E197;F;11;Urbana;2;AC;Controle;5;5;5;5;5;3;5;3;5;4.555555556;5;;4;3;3;3;4;3;3;3.5
E198;F;10;Rural;2;AC;Controle;3;4;5;4;5;3;3;4;4;3.888888889;4;3;4;2;4;3;5;4;3;3.555555556
E199;M;12;Urbana;2;AC;Controle;3;4;2;2;1;3;5;1;4;2.777777778;5;3;2;4;3;5;3;5;3;3.666666667
E200;F;11;Urbana;2;AC;Controle;3;5;2;3;5;5;5;3;5;4;1;2;1;4;5;1;3;1;2;2.222222222
E201;M;10;Rural;2;AC;Controle;4;5;3;4;5;4;4;3;3;3.888888889;3;2;4;2;3;3;4;3;4;3.111111111
E202;M;11;Urbana;2;AC;Controle;5;5;5;4;4;4;2;2;5;4;4;2;5;4;5;4;;3;5;4
E203;M;11;Rural;2;AC;Controle;;;;;;;;;;;2;3;5;3;4;5;1;4;5;3.555555556
E204;M;11;Urbana;2;AC;Controle;;;;;;;;;;;4;3;4;3;3;4;5;3;3;3.555555556
E205;M;;;2;AC;Controle;3;5;1;4;3;2;5;2;1;2.888888889;1;3;5;3;4;2;5;1;2;2.888888889
E206;M;12;;2;AC;Controle;5;3;1;3;1;4;2;3;2;2.666666667;3;2;4;1;4;1;5;1;3;2.666666667
E207;F;12;;2;AC;Controle;2;3;2;5;3;1;4;3;5;3.111111111;4;3;5;3;5;4;1;4;4;3.666666667
E208;M;12;;2;AC;Controle;3;4;5;4;3;4;5;3;4;3.888888889;5;4;5;4;5;4;4;5;5;4.555555556
E209;F;13;;2;AC;Controle;3;3;5;5;5;4;3;3;3;3.777777778;3;2;3;1;5;3;2;3;3;2.777777778
E210;M;11;Urbana;3;ML;Controle;3;4;5;4;3;5;3;4;5;4;;;;;;;;;;
E211;F;10;Rural;3;ML;Controle;5;1;5;5;5;5;1;1;5;3.666666667;;;;;;;;;;
E212;M;11;Rural;3;ML;Controle;2;1;5;3;2;5;1;1;5;2.777777778;5;3;4;4;2;4;4;3;2;3.444444444
E213;M;12;Urbana;3;ML;Controle;3;4;5;;1;3;1;3;5;3.125;3;3;4;3;5;5;2;3;1;3.222222222
E214;M;12;Rural;3;ML;Controle;3;2;3;3;2;3;5;1;4;2.888888889;1;3;3;4;2;;4;3;3;2.875
E215;F;11;Rural;3;ML;Controle;5;4;5;4;5;5;3;2;5;4.222222222;3;1;5;5;4;4;5;4;4;3.888888889
E216;M;10;Rural;3;ML;Controle;5;5;5;3;3;3;1;5;5;3.888888889;4;4;4;2;4;4;2;4;4;3.555555556
